year,event,category
2004,Graduated with my BA | Ciara born,education | birth
2006,Chloe born,birth
2008,Split up with Keith | Started hanging out with Dimitri Gregg Chris & Evan,relationship | friends
2009,Got waitress job at diner,career
2010,Met JP,relationship
2012,Graduated with my MSLIS | started job as clerk and event coordinator at Tivoli Free Library,education | career
2016,Dad died | Leonard Cohen died | Donald Trump elected,death | politics
2017,Started director job at Pine Plains Free Library,career
2020,Did Codesmith residency | Ronin born | left director job at Pine Plains Free Library,education | birth | career
2021,Mom died,death
2022,Started job at Sitecore | My friend Andrew died,career | death
2024,Laid off from Sitecore | Jp's dad died,career | death
2025,Got job at Livingston Free Library,career


