date,content,word_count,sentiment
2004-11-09,I was on The Surreal Life cuddling with Jordan knight.,10,0.25
2004-11-16,"I was dying of uterine cancer (does that even exist?) then I dreamed I was being chased by an evil 12 year old that wanted to cut my achilles tendons. (don't laugh!! it was scary!) I went to the afterlife, too.... through the forest.",44,-0.2640625
2004-12-29,"I had two kids, but I had also given birth to a puppy and was now, I found, pregnant with a scorpion. This grossed me out, the thought that I was pregnant with a scorpion. I remember feeling like ""Why did this have to happen to me again??"" I was in a pavilion with some people from high school, I think like Alyssa Engle and Catherine Menard and Kelly Haas. I was with big Keith but he seemed like he was an ex-boyfriend, Shawn, I think.
There was another part where I was in NYC and somehow George Carlin was involved and I was going to Wendy's. And there was a picnic table outside with three dead stuffed animals on it. It was some sort of trick and I went to a parking garage to tell Tim Ignaffo about it.",140,0.10444444444444445
2005-05-11,"I was in school and I was waiting for Sandy to have her baby. She was going to call me when she went into labor. So I was taking a Chinese cooking class to pass the time, and we were sitting at these long cafeteria tables. The teacher put something in the oven and then one of the students said that there was a finished one already in there (like on cooking shows on TV) but then the oven started making weird noises and everyone was like WTF? But I ran out the door and ducked as the oven exploded. Keith's dad was in the hallway and I said something like, ""I heard the oven making weird noises and I was like get the fuck out of there!"" and his dad chuckled.
Then I went back to my dorm room, where some boy was living for some reason. Like he had been crashing there and I didn't notice. But he was really dirty and his breath stunk because he had been laying in my bed for days and hadn't brushed his teeth. He told me he had written some poetry or something on my computer and showed it to me. I wasn't sure what I thought about it, like I remember thinking it was pretty good but a little juvenile, like he had promise.
Then Sandy called and said that she had been in labor for ""the equivalent of two days"" and asked me to come down. So I left (little Keith and Ciara existed but I don't know where they were.) Big Keith came with me, and we went to a park, because for some reason Sandy was giving birth in a park. At first I thought the park was really crowded, but then all I saw was two burly Mexican men with mustaches sitting in ornately carved wooden chairs with high backs in the middle of a field. I was telling Keith that Sandy's sister had been up for the birth but had to leave to go to Australia. Sandy had been afraid that Jenn, the doula, would leave for Australia as well before the baby was born. Jenn reassured her that she wouldn't go to ""Eurasia"" before the baby came. (Yeah I know Australia isn't Eurasia.)
As we walked through the park, I realized it wasn't the right park. Sandy hadn't told me *which* park, I just assumed that was the one. We came upon an outdoor bazaar with tents selling mostly artifacts from Tibet-- statues of Buddha, prayer flags, etc. I think the dream ended with me trying to figure out what park Sandy was in.",440,-0.04388300999412112
2005-05-17,"a naked ex-boyfriend, a swamp, and syrenichol locked in a room and forced to lie under flannel blankets while she cried to get out.",24,-0.15000000000000002
2005-10-30,"Dream partially based on Jack Chick tracts. It was the apocalypse and the black plague had been revived in Europe. Big Keith and I were in Canada with the kids and I wanted to stock up on food so we could shut ourselves up and not contract it. (I love Herman Hesse... but anyway...) Nunavut and the government of Nunavut had something to do with this. I think I wanted to go there because it is isolated. I was also wearing a Sailor Moon crown thing and big Keith was like ""You know that is a sign of Baphomet, right?"" and I was like oh shit I'm going to Hell! And also I guess stockpiling food was forbidden by God because we were supposed to just trust him and so I was trying to find a loophole so I could stockpile food in case it wasn't really the apocalypse. Then Big Keith was taking some kind of hallucinogenic drug and I was really mad at him and stormed out onto a porch and there were other people there and started panicking, like how you panic when you realize you are doing something really dangerous mindlessly in a dream. I thought maybe they had the plague. Also in my dream, San Francisco was an island and covered in water, but not deep water, like just a foot or so of really warm water, but it was out in the ocean. And I said to my mom, who is a Californian originally, ""I didn't know San Francisco was an island,"" and she started acting like I was really stupid. ""It's just a *different color island*,"" she told me. I looked at the map, and, sure enough, it was pink while the rest of California was yellow.",294,0.0039186507936507945
2005-12-20,"I was talking to Jim on AIM for some reason, and I told him that I missed Scott (with a little frowny emoticon) and he made some bullshitty comment trying to be nice but basically saying that Scott didn't want to talk to me ever again. And then I went to the movies with Jim, Shaun McCavara and Matthias and it was really weird and awkward.",66,-0.171875
2006-03-26,"I was being shown my greatest ""sin,"" not a sin in the usual sense... not murder or greed or envy, but a sin in the sense that perpetuating it would lead to my lonliness and unhappiness. It was my belief that others are not human in the way I am, that they don't have insecurities and that everything they do is calculated and purposeful. It is true that this has caused me a lot of mental anguish. I don't call people a lot of times because I am afraid to be rejected. When another person doesn't call, I assume it is intentional, that they do it because they view me as inferior and don't want to pursue a friendship with me. So chances at friendships slip through my fingers as I view each missed opportunity as a personal insult. I invited Masae and her kids to Keith's bday party in December, but haven't called her since. She hasn't called either. I, because I am afraid of being rejected and her, I assumed, because she decided she didn't like me. But I think I should give her the benefit of the doubt. Maybe she feels the same way. Maybe she is insecure, too, or maybe she thinks that I dislike her for some reason, because she's older, because I am insecure about my Japanese speaking ability, etc.",226,-0.07948717948717948
2006-06-10,"I tried to go back to Mt Holyoke and I had a bag from UAlbany and a former classmate (Emily) assumed it was from Yale for some reason (like I had left Mt Holyoke to go to Yale) but then I had to tell her it was from UAlbany. And then she said something like, that nobody wanted to room with me (I'm sure you understand!) but they would try to find a single.",74,0.11071428571428572
2006-10-23,"I was on the (from Lost) island...I lost Chloe and couldn't find her. met with the ghost of mr. Eko (who is not dead as far as i know on the show, but anyway...) charlie was living in a tree. everybody had been going to what they thought was an abandoned house to go pee and shower and stuff, but then a rich guy came in a boat and it was his house. and when he came, it didn't look abandoned anymore...like there was laundry out folded and waiting to be put away and stuff. He was really cocky and obnoxious and wouldn't help us get off the island. then he had sex with some girl who i knew was an adult but then he was like drawing a picture of her on a roll of paper above his bed, and there were drawings of other women he had had sex with, but in the picture she looked like a little girl and i wondered whether to tell somebody that he was a pedophile or something. Then I left and found all of these buildings, looked like a college campus, and all these people walking around, and I asked a girl what the buildings were and she said that two of them were churches, one for kinda mainline protestants and one for people who liked to holler ""amen!"" and such during service. I was trying to decide which one to go to.",242,0.08295454545454545
